season,season_type,player_id,player_name,player_display_name,position,position_group,headshot_url,games,recent_team,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr,special_teams_tds,fantasy_points,fantasy_points_ppr
2024,REG+POST,00-0037816,R.Doubs,Romeo Doubs,WR,WR,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/dyulbddqbqshoqdxgo63",6,GB,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,23,34,312,2,0,0,443,47,18,14.0207229619406,0,0.704288939051919,0.186813186813187,0.284338896020539,0.479257007434158,0,43.2,66.2
2024,REG+POST,00-0037834,B.Purdy,Brock Purdy,QB,QB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/myvg8siij2bn9ecx7btm",7,SF,138,216,1841,9,7,13,56,2,2,2096,615,85,29.4239095998112,0,0.878339694656489,0.118550239427217,34,154,2,2,0,17,8.19861553851907,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,119.04,119.04
2024,REG+POST,00-0037837,C.Austin,Calvin Austin,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/qlt6ztqcbu0uzad6aavt",7,PIT,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,11,21,203,1,0,0,233,84,7,9.8473130984152,0,0.871244635193133,0.11731843575419,0.166309778729479,0.29239449874192,0,26.3,37.3
2024,REG+POST,00-0037838,I.Likely,Isaiah Likely,TE,TE,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xmikfnklnpjmzjhbjrur",7,BAL,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,20,29,224,3,0,0,242,125,13,9.91285756883427,0,0.925619834710744,0.151832460732984,0.159630606860158,0.339490115901587,0,40.4,60.4
2024,REG+POST,00-0037840,K.Williams,Kyren Williams,RB,RB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/vcvstwywz6iufk7iul3x",7,LA,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,139,533,8,1,1,39,-10.4416339043808,0,19,22,90,2,0,0,-34,102,3,-0.0496251276344992,0,-2.64705882352941,0.106796116504854,-0.0220779220779221,0.144739629302736,0,120.3,139.3
2024,REG+POST,00-0038040,Z.White,Zamir White,RB,RB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/jpxuggpx567die5348be",5,LV,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,52,165,0,2,2,3,-31.4821310639141,0,6,8,30,0,0,0,-25,50,2,-2.24914509427354,0,-1.2,0.062992125984252,-0.0313676286072773,0.0725308489512839,0,15.5,21.5
2024,REG+POST,00-0038041,J.Ferguson,Jake Ferguson,TE,TE,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/rwxrfhejpngq0avhb8qg",5,DAL,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,25,34,240,0,1,0,201,121,9,5.58161946500751,0,1.19402985074627,0.178010471204188,0.136086662153013,0.362276370313392,0,24,49
2024,REG+POST,00-0038046,C.Kolar,Charlie Kolar,TE,TE,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/n7duzqver13movvgcint",4,BAL,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,1,2,0,0,0,1,1.71890635776799,0,6,7,112,1,0,0,56,64,4,7.45900195513968,0,2,0.0648148148148148,0.0638540478905359,0.141920055745597,0,17.4,23.4
2024,REG+POST,00-0038090,S.Moore,Skyy Moore,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/wpiovviem9uugfacqkxy",2,KC,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,0,3,0,0,0,0,18,0,0,-2.91975799726788,0,0,0.0566037735849057,0.0445544554455446,0.11609377918924,0,0,0
2024,REG+POST,00-0038092,E.Ezukanma,Erik Ezukanma,WR,WR,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/qnq5b80lyd9wjidek81f",1,MIA,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,0,2,0,0,0,0,59,0,0,-2.41914490703493,0,0,0.0645161290322581,0.292079207920792,0.301229639092942,0,0,0
2024,REG+POST,00-0038098,P.Strong,Pierre Strong,RB,RB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xvsnviejqwulftgrccpb",5,CLE,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,15,56,0,0,0,4,-0.320381693658419,0,6,12,74,0,0,0,2,87,3,1.67411814466816,0,37,0.0685714285714286,0.00155763239875389,0.103947485536271,0,13,19
